Date,Term,Count
2016-02-03,linux,382
2016-02-03,windows,775
2016-02-03,perl,74
2016-02-03,python,115
2016-02-03,ruby,22
2016-02-03,ccna,51
2016-02-03,cissp,11
2016-02-03,lpic,2
2016-02-03,linux perl,42
2016-02-03,linux python,64
2016-02-03,linux ruby,14
2016-02-03,shell,77
2016-02-03,bash,60
2016-02-03,zabbix,7
2016-02-03,nagios,7
2016-02-03,icinga,0
2016-02-03,cluster,47
2016-02-03,bind,8
2016-02-03,apache,77
2016-02-03,nginx,4
2016-02-03,lighttpd,0
2016-02-03,varnish,2
2016-02-03,haproxy,1
2016-02-03,mysql,110
2016-02-03,postgresql,33
2016-02-03,oracle,318
2016-02-03,memcache,4
2016-02-03,redis,13
2016-02-03,jenkins,31
2016-02-03,puppet,13
2016-02-03,chef,24
2016-02-03,salt,2
2016-02-03,cfengine,3
2016-02-03,ansible,5
2016-02-03,docker,4
2016-02-03,devops,11
2016-02-03,cloud,245
2016-02-03,aws,13
2016-02-03,agile,226
2016-02-03,scrum,180
2016-02-04,linux,385
2016-02-04,windows,784
2016-02-04,perl,73
2016-02-04,python,117
2016-02-04,ruby,23
2016-02-04,ccna,51
2016-02-04,cissp,13
2016-02-04,lpic,2
2016-02-04,linux perl,41
2016-02-04,linux python,65
2016-02-04,linux ruby,15
2016-02-04,shell,74
2016-02-04,bash,60
2016-02-04,zabbix,7
2016-02-04,nagios,8
2016-02-04,icinga,0
2016-02-04,cluster,46
2016-02-04,bind,8
2016-02-04,apache,79
2016-02-04,nginx,4
2016-02-04,lighttpd,0
2016-02-04,varnish,2
2016-02-04,haproxy,1
2016-02-04,mysql,116
2016-02-04,postgresql,33
2016-02-04,oracle,322
2016-02-04,memcache,4
2016-02-04,redis,13
2016-02-04,jenkins,32
2016-02-04,puppet,14
2016-02-04,chef,27
2016-02-04,salt,3
2016-02-04,cfengine,3
2016-02-04,ansible,7
2016-02-04,docker,5
2016-02-04,devops,12
2016-02-04,cloud,246
2016-02-04,aws,15
2016-02-04,agile,233
2016-02-04,scrum,186
2016-02-05,linux,380
2016-02-05,windows,785
2016-02-05,perl,69
2016-02-05,python,115
2016-02-05,ruby,25
2016-02-05,ccna,47
2016-02-05,cissp,10
2016-02-05,lpic,2
2016-02-05,linux perl,40
2016-02-05,linux python,64
2016-02-05,linux ruby,17
2016-02-05,shell,73
2016-02-05,bash,58
2016-02-05,zabbix,7
2016-02-05,nagios,8
2016-02-05,icinga,0
2016-02-05,cluster,45
2016-02-05,bind,8
2016-02-05,apache,78
2016-02-05,nginx,4
2016-02-05,lighttpd,0
2016-02-05,varnish,2
2016-02-05,haproxy,1
2016-02-05,mysql,116
2016-02-05,postgresql,32
2016-02-05,oracle,321
2016-02-05,memcache,4
2016-02-05,redis,13
2016-02-05,jenkins,31
2016-02-05,puppet,15
2016-02-05,chef,27
2016-02-05,salt,3
2016-02-05,cfengine,3
2016-02-05,ansible,7
2016-02-05,docker,5
2016-02-05,devops,12
2016-02-05,cloud,252
2016-02-05,aws,16
2016-02-05,agile,231
2016-02-05,scrum,186
2016-02-06,linux,366
2016-02-06,windows,758
2016-02-06,perl,67
2016-02-06,python,108
2016-02-06,ruby,23
2016-02-06,ccna,49
2016-02-06,cissp,10
2016-02-06,lpic,2
2016-02-06,linux perl,39
2016-02-06,linux python,58
2016-02-06,linux ruby,17
2016-02-06,shell,69
2016-02-06,bash,56
2016-02-06,zabbix,7
2016-02-06,nagios,8
2016-02-06,icinga,0
2016-02-06,cluster,44
2016-02-06,bind,8
2016-02-06,apache,76
2016-02-06,nginx,4
2016-02-06,lighttpd,0
2016-02-06,varnish,2
2016-02-06,haproxy,1
2016-02-06,mysql,112
2016-02-06,postgresql,28
2016-02-06,oracle,303
2016-02-06,memcache,4
2016-02-06,redis,12
2016-02-06,jenkins,31
2016-02-06,puppet,15
2016-02-06,chef,27
2016-02-06,salt,3
2016-02-06,cfengine,3
2016-02-06,ansible,7
2016-02-06,docker,4
2016-02-06,devops,12
2016-02-06,cloud,249
2016-02-06,aws,16
2016-02-06,agile,226
2016-02-06,scrum,175
2016-02-07,linux,366
2016-02-07,windows,749
2016-02-07,perl,67
2016-02-07,python,108
2016-02-07,ruby,23
2016-02-07,ccna,49
2016-02-07,cissp,10
2016-02-07,lpic,2
2016-02-07,linux perl,39
2016-02-07,linux python,58
2016-02-07,linux ruby,17
2016-02-07,shell,70
2016-02-07,bash,56
2016-02-07,zabbix,7
2016-02-07,nagios,8
2016-02-07,icinga,0
2016-02-07,cluster,44
2016-02-07,bind,8
2016-02-07,apache,75
2016-02-07,nginx,4
2016-02-07,lighttpd,0
2016-02-07,varnish,2
2016-02-07,haproxy,1
2016-02-07,mysql,111
2016-02-07,postgresql,28
2016-02-07,oracle,302
2016-02-07,memcache,4
2016-02-07,redis,12
2016-02-07,jenkins,31
2016-02-07,puppet,15
2016-02-07,chef,27
2016-02-07,salt,3
2016-02-07,cfengine,3
2016-02-07,ansible,7
2016-02-07,docker,4
2016-02-07,devops,12
2016-02-07,cloud,249
2016-02-07,aws,16
2016-02-07,agile,226
2016-02-07,scrum,175
